,index,Region,Association,Country,Player,Clubs,Periods,Number of Clubs,First Year,Final Year,Total Years,Active
27,581,Europe,UEFA,Belgium,Albert Sambi Lokonga,"Arsenal F.C., Crystal Palace F.C., Luton Town F.C.",2021–,3.0,2021.0,,3.0,True
28,586,Europe,UEFA,Belgium,Leandro Trossard,"Brighton & Hove Albion F.C., Arsenal F.C.",2019–,2.0,2019.0,,5.0,True
29,591,Europe,UEFA,Belgium,Thomas Vermaelen,Arsenal F.C.,2009–14,1.0,2009.0,2014,5.0,False
30,597,Europe,UEFA,Bosnia and Herzegovina,Sead Kolašinac,Arsenal F.C.,2017–22,1.0,2017.0,2022,5.0,False
31,616,Europe,UEFA,Croatia,Eduardo da Silva,Arsenal F.C.,"2007–08, 2009–10",1.0,2007.0,2010,2.0,False
32,636,Europe,UEFA,Croatia,Davor Šuker,"Arsenal F.C., West Ham United F.C.",1999–2001,2.0,1999.0,2001,2.0,False
33,645,Europe,UEFA,Czech Republic,Petr Čech,"Chelsea F.C., Arsenal F.C.",2004–19,2.0,2004.0,2019,15.0,False
34,663,Europe,UEFA,Czech Republic,Tomáš Rosický,Arsenal F.C.,"2006–08, 2009–15",1.0,2006.0,2015,8.0,False
35,677,Europe,UEFA,Denmark,Nicklas Bendtner,"Arsenal F.C., Sunderland A.F.C.",2007–14,2.0,2007.0,2014,7.0,False
36,707,Europe,UEFA,Denmark,John Jensen,Arsenal F.C.,1992–96,1.0,1992.0,1996,4.0,False
37,751,Europe,UEFA,Estonia,Mart Poom,"Derby County F.C., Sunderland A.F.C., Arsenal F.C.","1997–2003, 2006–07",3.0,1997.0,2007,7.0,False
38,777,Europe,UEFA,France,Jérémie Aliadière,"Arsenal F.C., West Ham United F.C., Middlesbrough F.C.",2001–09,3.0,2001.0,2009,8.0,False
39,780,Europe,UEFA,France,Nicolas Anelka,"Arsenal F.C., Liverpool F.C., Manchester City F.C., Bolton Wanderers F.C., Chelsea F.C., West Bromwich Albion F.C.","1996–99, 2001–05, 2006–12, 2013–14",6.0,1996.0,2014,14.0,False
40,818,Europe,UEFA,France,Gaël Clichy,"Arsenal F.C., Manchester City F.C.",2003–17,2.0,2003.0,2017,14.0,False
41,820,Europe,UEFA,France,Francis Coquelin,Arsenal F.C.,"2011–13, 2014–18",1.0,2011.0,2018,6.0,False
42,822,Europe,UEFA,France,Pascal Cygan,Arsenal F.C.,2002–06,1.0,2002.0,2006,4.0,False
43,829,Europe,UEFA,France,Mathieu Debuchy,"Newcastle United F.C., Arsenal F.C.",2012–17,2.0,2012.0,2017,5.0,False
44,833,Europe,UEFA,France,Abou Diaby,Arsenal F.C.,2005–14,1.0,2005.0,2014,9.0,False
45,839,Europe,UEFA,France,Lassana Diarra,"Chelsea F.C., Arsenal F.C., Portsmouth F.C.",2005–09,3.0,2005.0,2009,4.0,False
46,860,Europe,UEFA,France,Mathieu Flamini,"Arsenal F.C., Crystal Palace F.C.","2004–08, 2013–17",2.0,2004.0,2017,8.0,False
47,864,Europe,UEFA,France,William Gallas,"Chelsea F.C., Arsenal F.C., Tottenham Hotspur F.C.",2001–13,3.0,2001.0,2013,12.0,False
48,865,Europe,UEFA,France,Rémi Garde,Arsenal F.C.,1996–99,1.0,1996.0,1999,3.0,False
49,867,Europe,UEFA,France,Olivier Giroud,"Arsenal F.C., Chelsea F.C.",2012–21,2.0,2012.0,2021,9.0,False
50,877,Europe,UEFA,France,Gilles Grimandi,Arsenal F.C.,1997–2002,1.0,1997.0,2002,5.0,False
51,878,Europe,UEFA,France,David Grondin,Arsenal F.C.,1998–99,1.0,1998.0,1999,1.0,False
52,879,Europe,UEFA,France,Matteo Guendouzi,Arsenal F.C.,2018–20,1.0,2018.0,2020,2.0,False
53,883,Europe,UEFA,France,Thierry Henry,Arsenal F.C.,"1999–2007, 2011–12",1.0,1999.0,2012,9.0,False
54,895,Europe,UEFA,France,Laurent Koscielny,Arsenal F.C.,2010–19,1.0,2010.0,2019,9.0,False
55,897,Europe,UEFA,France,Alexandre Lacazette,Arsenal F.C.,2017–22,1.0,2017.0,2022,5.0,False
